glyph[0] {.notdef,0x01}
glyph[245] {omacron,U+014D}
glyph[246] {Obreve,U+014E}
glyph[247] {obreve,U+014F}
glyph[248] {Wgrave,U+1E80}
glyph[249] {wgrave,U+1E81}
glyph[250] {Wacute,U+1E82}
glyph[251] {wacute,U+1E83}
glyph[252] {uni00A0,U+00A0}
glyph[253] {uni00AD,U+00AD}
glyph[254] {uni2002,U+2002}
glyph[255] {uni200B,U+200B}
glyph[256] {uni2009,U+2009}
glyph[257] {uniFEFF,U+FEFF}
glyph[258] {K,U+004B}
glyph[259] {uni0136,U+0136}
glyph[260] {Dcroat,U+0110}
glyph[261] {Oslash,U+00D8}
glyph[262] {igrave,U+00EC}
glyph[263] {oslash,U+00F8}
glyph[264] {divide,U+00F7}
glyph[265] {Hbar,U+0126}
glyph[266] {hbar,U+0127}
glyph[267] {imacron,U+012B}
glyph[268] {jcircumflex,U+0135}
glyph[269] {kgreenlandic,U+0138}
glyph[270] {Lslash,U+0141}
glyph[271] {lslash,U+0142}
glyph[272] {OE,U+0152}
glyph[273] {Ohungarumlaut,U+0150}
glyph[274] {ohungarumlaut,U+0151}
glyph[275] {Tbar,U+0166}
glyph[276] {tbar,U+0167}
glyph[277] {uni0237,U+0237}
glyph[278] {uni02C9,U+02C9}
glyph[279] {oacute,U+00F3}
glyph[280] {franc,U+20A3}
glyph[281] {trademark,U+2122}
glyph[282] {minus,U+2212}
glyph[283] {uni2215,U+2215}
glyph[284] {f_f,U+FB00}
glyph[285] {fi,U+FB01}
glyph[286] {fl,U+FB02}
glyph[287] {f_f_i,U+FB03}
glyph[288] {f_f_l,U+FB04}
glyph[289] {longs_t,U+FB05}
glyph[290] {uni2074,U+2074}
glyph[291] {minute,U+2032}
glyph[292] {second,U+2033}
glyph[293] {arrowup,U+2191}
glyph[294] {arrowdown,U+2193}
glyph[295] {ldot,U+0140}
glyph[296] {uni021A,U+021A}
glyph[297] {Agrave,U+00C0}
glyph[298] {Aacute,U+00C1}
glyph[299] {Acircumflex,U+00C2}
glyph[300] {Atilde,U+00C3}
glyph[301] {Ccedilla,U+00C7}
glyph[302] {Ntilde,U+00D1}
glyph[303] {Otilde,U+00D5}
glyph[304] {agrave,U+00E0}
glyph[305] {aacute,U+00E1}
glyph[306] {acircumflex,U+00E2}
glyph[307] {atilde,U+00E3}
glyph[308] {aring,U+00E5}
glyph[309] {ccedilla,U+00E7}
glyph[310] {ntilde,U+00F1}
glyph[311] {otilde,U+00F5}
glyph[312] {ugrave,U+00F9}
glyph[313] {uacute,U+00FA}
glyph[314] {ucircumflex,U+00FB}
glyph[315] {amacron,U+0101}
glyph[316] {Abreve,U+0102}
glyph[317] {abreve,U+0103}
glyph[318] {Aogonek,U+0104}
glyph[319] {aogonek,U+0105}
glyph[320] {dcaron,U+010F}
glyph[321] {dcroat,U+0111}
glyph[322] {Ecaron,U+011A}
glyph[323] {Eogonek,U+0118}
glyph[324] {Gcircumflex,U+011C}
glyph[325] {gcircumflex,U+011D}
glyph[326] {Gbreve,U+011E}
glyph[327] {gbreve,U+011F}
glyph[328] {uni0122,U+0122}
glyph[329] {uni0123,U+0123}
glyph[330] {Itilde,U+0128}
glyph[331] {itilde,U+0129}
glyph[332] {Iogonek,U+012E}
glyph[333] {nacute,U+0144}
glyph[334] {uni0146,U+0146}
glyph[335] {ncaron,U+0148}
glyph[336] {napostrophe,U+0149}
glyph[337] {Racute,U+0154}
glyph[338] {racute,U+0155}
glyph[339] {uni0156,U+0156}
glyph[340] {uni0157,U+0157}
glyph[341] {Rcaron,U+0158}
glyph[342] {rcaron,U+0159}
glyph[343] {Sacute,U+015A}
glyph[344] {sacute,U+015B}
glyph[345] {Scircumflex,U+015C}
glyph[346] {scircumflex,U+015D}
glyph[347] {Scedilla,U+015E}
glyph[348] {scedilla,U+015F}
glyph[349] {Scaron,U+0160}
glyph[350] {scaron,U+0161}
glyph[351] {uni0162,U+0162}
glyph[352] {uni0163,U+0163}
glyph[353] {Utilde,U+0168}
glyph[354] {utilde,U+0169}
glyph[355] {umacron,U+016B}
glyph[356] {ubreve,U+016D}
glyph[357] {uring,U+016F}
glyph[358] {uhungarumlaut,U+0171}
glyph[359] {Uogonek,U+0172}
glyph[360] {uogonek,U+0173}
glyph[361] {uni0218,U+0218}
glyph[362] {uni0219,U+0219}
glyph[363] {oe,U+0153}
glyph[364] {Adieresis,U+00C4}
glyph[365] {Edieresis,U+00CB}
glyph[366] {Idieresis,U+00CF}
glyph[367] {Odieresis,U+00D6}
glyph[368] {Udieresis,U+00DC}
glyph[369] {adieresis,U+00E4}
glyph[370] {idieresis,U+00EF}
glyph[371] {odieresis,U+00F6}
glyph[372] {udieresis,U+00FC}
glyph[373] {ydieresis,U+00FF}
glyph[374] {Idotaccent,U+0130}
glyph[375] {Cdotaccent,U+010A}
glyph[376] {cdotaccent,U+010B}
glyph[377] {Zdotaccent,U+017B}
glyph[378] {Edotaccent,U+0116}
glyph[379] {Gdotaccent,U+0120}
glyph[380] {gdotaccent,U+0121}
glyph[381] {wdieresis,U+1E85}
glyph[382] {iogonek,U+012F}
glyph[383] {ij,U+0133}
glyph[384] {Ydieresis,U+0178}
glyph[385] {Wdieresis,U+1E84}
glyph[386] {egrave,U+00E8}
glyph[387] {eacute,U+00E9}
glyph[388] {ecircumflex,U+00EA}
glyph[389] {edieresis,U+00EB}
glyph[390] {emacron,U+0113}
glyph[391] {ebreve,U+0115}
glyph[392] {edotaccent,U+0117}
glyph[393] {eogonek,U+0119}
glyph[394] {ecaron,U+011B}
